标题:钱学森之问	链接:https://tieba.baidu.com/p/3223082860	帖子作者:主题作者: 一方通行stdm	发帖时间:2014-08	回帖数量:29
标题:钱佬作为战略科学家，给我们的警示。值得反思！#我的18周年盘点#	链接:https://tieba.baidu.com/p/8039889668	帖子作者:主题作者: 贴吧用户_a1G5RVt	发帖时间:2022-09	回帖数量:9
标题:人体气功是调理人内在无形体超高级生命（灵魂）的根本	链接:https://tieba.baidu.com/p/7485019029	帖子作者:主题作者: 科技创新灵魂学	发帖时间:2021-08	回帖数量:1
标题:最尊敬的保姆-----宋淑花	链接:https://tieba.baidu.com/p/1546569533	帖子作者:主题作者: 家和喜事多	发帖时间:2012-12	回帖数量:11
标题:中科院力学所怀柔试验基地遭暴力拆毁,钱学森回国建立的首批实验室	链接:https://tieba.baidu.com/p/836349653	帖子作者:主题作者: neeckie	发帖时间:2012-07	回帖数量:580
标题:一群洋粉，侮辱着钱学森、钱三强、钱伟长们！	链接:https://tieba.baidu.com/p/7245101585	帖子作者:主题作者: 落牙防揍之	发帖时间:2021-03	回帖数量:32
标题:谁有钱老的力学手稿3 4 7 8。。。求大佬们给分享一个	链接:https://tieba.baidu.com/p/8200057432	帖子作者:主题作者: Jinvbhgwhf	发帖时间:2022-12	回帖数量:0
标题:纪念钱老已过的110岁诞辰	链接:https://tieba.baidu.com/p/7706317899	帖子作者:主题作者: 葛罗芬戴尔◎	发帖时间:2022-01	回帖数量:20
标题:钱学森真的很厉害👍	链接:https://tieba.baidu.com/p/8161024888	帖子作者:主题作者: 贴吧用户_a38PQ7Z	发帖时间:2022-11	回帖数量:0
标题:钱学森简介	链接:https://tieba.baidu.com/p/140178686	帖子作者:主题作者: 几不可带	发帖时间:2013-12	回帖数量:1036
标题:分享：2009年10月31日世界著名科学家、两弹一星功勋奖章获得者钱学森逝世，今天是纪念钱学森逝世13周年#历史上的今天##钱学森逝世13周年#	链接:https://tieba.baidu.com/p/8113910354	帖子作者:主题作者: wfhmkj	发帖时间:2022-10	回帖数量:0
标题:司马南用百万千万挑战特异功能和气功界是最愚蠢的行为	链接:https://tieba.baidu.com/p/7212807579	帖子作者:主题作者: 人类生命灵魂学	发帖时间:2021-01	回帖数量:2
标题:钱学森三问	链接:https://tieba.baidu.com/p/1479681880	帖子作者:主题作者: vv糖i	发帖时间:2012-04	回帖数量:3
标题:黑魔法与邪恶克劳利	链接:https://tieba.baidu.com/p/7985296394	帖子作者:主题作者: 自由的心巨蟹	发帖时间:2022-08	回帖数量:2
标题:钱学森与黑魔法	链接:https://tieba.baidu.com/p/7976583660	帖子作者:主题作者: 自由的心巨蟹	发帖时间:2022-08	回帖数量:2
